"Provincia","Viviendas particulares (2022)","Viviendas colectivas (2022)","Población (2022)","Personas en viviendas particulares (2022)","Personas en viviendas colectivas (2022)","Personas en situación de calle (vía pública)","Viviendas particulares (2010)","Viviendas colectivas (2010)","Población (2010)","Personas en viviendas particulares (2010)","Personas en viviendas colectivas (2010)","Variación de viviendas particulares (2010 a 2022)","Variación de viviendas colectivas (2010 a 2022)","Variación de población (2010 a 2022)","Variación de población en viviendas particulares (2010 a 2022)","Variación de población en viviendas colectivas (2010 a 2022)","Código de provincia","Nombre de provincia","Población total","Total de hogares","Latitud del centroide","Longitud del centroide","Superficie en km2"
"02",1638764,1946,3120612,3092942,26767,903,1424571,1867,2890151,2828423,61728,214193,79,230461,264519,-34961,"02","Ciudad Autónoma de Buenos Aires",2890151,1150134,-34.614509,-58.446392,203.84093393413
"06",6695273,6535,17569053,17450899,117193,961,5378365,5750,15625084,15482596,142488,1316908,785,1943969,1968303,-25295,"06","Buenos Aires",15625084,4789484,-36.680986,-60.559733,306335.71025926
"10",158989,449,429556,427415,2139,2,113661,385,367828,362579,5249,45328,64,61728,64836,-3110,"10","Catamarca",367828,96001,-27.37665,-66.908882,104809.63908709
"14",1630356,3548,3978984,3946235,32658,91,1232432,3745,3308876,3258797,50079,397924,-197,670108,687438,-17421,"14","Córdoba",3308876,1031843,-32.139833,-63.798645,165187.88825106
"18",406480,555,1197553,1195538,1977,38,292686,593,992595,985466,7129,113794,-38,204958,210072,-5152,"18","Corrientes",992595,267797,-28.771516,-57.799545,89274.349753537
"22",401658,443,1142963,1137027,5877,59,312659,370,1055259,1047958,7301,88999,73,87704,89069,-1424,"22","Chaco",1055259,288422,-26.387111,-60.76459,99836.248307814
"26",236010,1123,603120,599568,3508,44,178034,860,509108,498057,11051,57976,263,94012,101511,-7543,"26","Chubut",509108,157166,-43.793789,-68.523963,223920.14545139
"30",559398,1159,1426426,1416324,9963,139,425653,775,1235994,1222666,13328,133745,384,190432,193658,-3365,"30","Entre Ríos",1235994,375121,-32.057826,-59.202287,78485.812575181
"34",212941,232,606041,604278,1763,,154485,236,530162,527053,3109,58456,-4,75879,77225,-1346,"34","Formosa",530162,140303,-24.890359,-59.937024,75510.99349891
"38",276222,326,797955,797009,864,82,195859,501,673307,666585,6722,80363,-175,124648,130424,-5858,"38","Jujuy",673307,174630,-23.321271,-65.761729,53689.155018832
"42",163805,437,366022,364556,1462,4,133196,343,318951,314768,4183,30609,94,47071,49788,-2721,"42","La Pampa",318951,107674,-37.133846,-65.445684,143087.6821368
"46",149910,272,384607,383128,1479,,108982,215,333642,331195,2447,40928,57,50965,51933,-968,"46","La Rioja",333642,91097,-29.683247,-67.196193,90608.544183469
"50",708354,1744,2014533,2001281,13231,21,538132,1215,1738929,1720987,17942,170222,529,275604,280294,-4711,"50","Mendoza",1738929,494841,-34.630336,-68.585092,149619.27963739
"54",466850,652,1280960,1275142,5792,26,330131,582,1101593,1091840,9753,136719,70,179367,183302,-3961,"54","Misiones",1101593,302953,-26.871719,-54.651508,29726.972957729
"58",273685,392,726590,723663,2920,7,193771,880,551266,542043,9223,79914,-488,175324,181620,-6303,"58","Neuquén",551266,170057,-38.642379,-70.120919,94269.667994269
"62",295502,910,762067,758001,4066,,236626,778,638645,626164,12481,58876,132,123422,131837,-8415,"62","Río Negro",638645,199189,-40.407642,-67.233568,202958.95974573
"66",478433,766,1440672,1431838,8590,244,315274,755,1214441,1202713,11728,163159,11,226231,229125,-3138,"66","Salta",1214441,299794,-24.293187,-64.822344,155347.63653454
"70",265047,387,818234,814856,3357,21,188673,291,681055,673382,7673,76374,96,137179,141474,-4316,"70","San Juan",681055,177155,-30.874961,-68.88892,89333.16217774
"74",201271,339,540905,539868,1033,4,142070,312,432310,428512,3798,59201,27,108595,111356,-2765,"74","San Luis",432310,126922,-33.764684,-66.023688,75059.808451241
"78",131395,486,333473,331707,1766,,93883,553,273964,264921,9043,37512,-67,59509,66786,-7277,"78","Santa Cruz",273964,81796,-48.816406,-69.960957,244489.00906016
"82",1458652,1928,3556522,3535792,20521,209,1143782,1619,3194537,3165827,28710,314870,309,361985,369965,-8189,"82","Santa Fe",3194537,1023777,-30.70912,-60.951999,133268.67116749
"86",348705,353,1054028,1050218,3760,50,242082,393,874006,868433,5573,106623,-40,180022,181785,-1813,"86","Santiago del Estero",874006,218025,-27.75249,-63.234272,134657.06398868
"90",555419,382,1703186,1700788,2341,57,396083,389,1448188,1440870,7318,159336,-7,254998,259918,-4977,"90","Tucumán",1448188,368538,-26.941811,-65.368976,22920.512568124
"94",67091,136,190511,189785,726,,43373,214,126998,124038,2960,23718,-78,63513,65747,-2234,"94","Tierra del Fuego, Antártida e Islas del Atlántico Sur",127205,38956,-54.342144,-67.392663,20677.676021915
